WORDs,Modified_Z_score,Number of records using the relevant words/phrases,Group
outperform,4.699341927,91957,1
deeper,4.494774608,76106,1
ultimately,4.382343221,183638,1
shed light,4.35320156,84170,1
vital role,4.274797788,40824,1
address,4.268320313,906912,1
thoughtfully,4.240821839,1035,1
further research,4.214348403,188812,0
thoroughly,4.131096212,53154,1
juxtapose,4.055351907,4666,1
interplay,3.987253508,112430,1
insight,3.986100381,839913,1
journey,3.968289684,27336,1
elucidate,3.940339883,458892,1
intriguing,3.784874681,36645,1
scholarly,3.748807942,10918,1
in summary,3.683234831,131170,1
compellingly,3.673267834,320,1
aim to,3.660987081,1835378,0
excellently,3.6485054,2038,1
unearth,3.613687,2357,1
effortlessly,3.607885873,941,1
accurately,3.588036913,221987,1
significant,3.561082912,4394084,1
highlight,3.543562871,1002509,1
capability,3.52856504,261570,1
landscape,3.448373043,125161,1
models,3.387392737,4922986,0
explore,3.355704675,1451561,1
efficacy,3.174388196,1196170,0
illuminate,3.150592923,42308,1
facilitate,3.097872502,737852,1
finding,3.091797958,3144876,1
integrate,3.015981019,602202,1
significance,2.823916827,668198,1
fortify,2.770844198,17204,1
critical,2.745705935,1121848,1
milestone,2.650396344,20555,1
soil,2.61231338,269135,1
complexity,2.52626139,256336,1
emerge,2.491097288,754465,1
pipeline,2.36633469,52059,1
examine,2.341279612,2481219,0
potential,2.267962497,3443010,1
analysis,2.23428125,8062813,0
primary outcome,2.191099223,238244,0
ecosystem,2.171719101,220799,1
understanding,2.159756764,1377918,1
safety,2.125985626,876135,0
registered with,2.112189084,25868,0
exhaustive,2.074557606,20344,1
this study,2.03995122,5464359,0
versatile,2.037502858,84237,1
two groups,1.848600452,403106,0
to assess,1.832576635,1361731,0
include in,1.802543103,598456,0
identify,1.736980028,4078630,0
secondary analysis,1.695758407,44963,0
logistic regression,1.674036934,512557,0
proportion of,1.647111126,476135,0
aptly,1.580083354,874,1
to identify,1.485880769,1227209,0
were collected,1.455842711,717610,0
to investigate,1.455221578,1436188,0
regression analysis,1.441052152,534377,0
adverse events,1.435212381,284494,0
primary endpoint,1.411234971,77085,0
investigate,1.397178571,3773222,0
association between,1.374450762,875036,0
statistically,1.371483333,725858,0
difference in,1.363351064,1486809,0
patients who,1.332169976,944388,0
retrospective,1.316599832,1580931,0
fundamental,1.307536125,258448,1
enhancement,1.305576436,348325,1
were assessed,1.234252004,992394,0
to examine,1.162527781,686600,0
driving force,1.147512717,27340,1
median follow-up,1.124063915,139331,0
control group,1.08756664,604702,0
this trial,1.081373518,46762,0
evaluate,1.07977382,3768007,0
cross-sectional,1.022033756,795454,0
most common,1.020580879,609956,0
associate with,0.947749134,4188425,0
cohort study,0.933077468,663006,0
increased risk,0.911831409,351929,0
ratio,0.889063242,1804884,0
to evaluate,0.884224902,1576794,0
end point,0.878144198,262805,0
transform,0.808758444,438954,1
were performed,0.806817049,1978864,0
was used,0.760152718,3494576,0
to compare,0.710918437,600683,0
effect of,0.6745,3683181,0
less likely,0.6745,108124,0
more likely,0.6745,348447,0
were reported,0.6745,440242,0
study period,0.64361872,141429,0
were enrolled,0.628400338,284181,0
undoubtedly,0.51480999,13107,1
sought to,0.472402825,225747,0
independently associated,0.433141099,107918,0
to receive,0.401269738,150056,0
in addition,0.388122104,1665573,1
common grade,0.366175673,3830,0
treatment allocation,0.33725,3609,0
one of,0.272648718,1161057,0
randomly,0.223753529,440781,0
lower in,0.163873899,272304,0
treatment assignment,0.162533544,2966,0
reportedly,0.158839293,18395,1
objective of,0.067470815,465565,0
higher in,0.050682973,559188,0
difference between,0,697504,0
fresh,0,162841,1
outcome measure,0,314116,0
our results,-0.048830877,903679,0
no difference,-0.509216189,358938,0
time of,-0.659748338,550384,0
aim of,-0.6745,1281949,0
captive,-0.6745,16698,1
potent,-0.763010727,341240,1
is known,-0.941073165,626652,0
dose of,-1.175269318,428696,0
placebo group,-1.227393362,43183,0
catalyze,-1.827092345,201259,1
at least,-1.999891737,756550,0
compared with,-2.433975312,1991039,0
was found,-2.567451613,2033616,0
suggest that,-2.594636766,3005916,0
thought,-2.596825,278819,1
basis of,-3.200471485,372637,0
purpose of,-3.550059511,729763,0
end of,-3.792334772,375641,0
to determine,-4.211109545,1584540,0
results suggest,-4.569369774,748688,0
hypothesis,-4.5866,570580,0
all patients,-8.211637737,513230,0
treatment of,-9.617889576,1621352,0
