Year,_Total_Records,accurately,actionable,additionally,address,advancement,adverse events,aim of,aim to,align,all patients,analysis,aptly,associate with,association between,at least,basis of,boast,bolster,capability,captive,catalyze,cohort study,commendable,common grade,compared with,compellingly,complex,complexity,comprehend,comprehensive,control group,critical,cross-sectional,crucial,deep dive,deeper,delve,difference between,difference in,dose of,driving force,ecosystem,effect of,effectively,efficacy,effortlessly,elucidate,embark,emerge,emphasize,employ,encompass,end of,end point,endeavor,enhance,enhancement,essence,essential,ethical consideration,evaluate,examine,excel,excellently,exceptional,exercise caution,exhaustive,exhibit,expansive,explore,facilitate,finding,fortify,foster,foundation,fresh,fundamental,further research,game changer,garner,grapple,groundbreaking,harness,higher in,highlight,hypothesis,identify,illuminate,impressively,in addition,in summary,include in,increased risk,independently associated,ingenious,innovative,insight,integrate,interplay,intricacy,intricate,intriguing,invaluable,investigate,is known,journey,juxtapose,knowledge gap,landscape,less likely,leverage,logistic regression,lower in,median follow-up,methodically,meticulous,milestone,models,more likely,most common,multifaceted,navigate,necessitate,no difference,notably,noteworthy,nuanced,objective of,offer,one of,our results,outcome measure,outperform,particularly,patients who,pipeline,pivotal,placebo group,potent,potential,predominantly,primarily,primary endpoint,primary outcome,profoundly,promptly,proportion of,prowess,purpose of,randomly,ratio,realm,registered with,regression analysis,renowned,reportedly,results suggest,retrospective,revolutionize,safety,scholarly,scrutinize,seamlessly,secondary analysis,shed light,showcase,significance,significant,soil,sought to,statistically,strategically,study period,subsequently,suggest that,surpass,tapestry,testament,thereby,this study,this trial,thoroughly,thought,thoughtfully,time of,to assess,to compare,to determine,to evaluate,to examine,to identify,to investigate,to receive,transcend,transform,transformative,treatment allocation,treatment assignment,treatment of,two groups,ultimately,underscore,understanding,undoubtedly,unearth,unlocking,unveil,utilization,valuable,versatile,vital role,was found,was used,well-rounded,were assessed,were collected,were enrolled,were performed,were reported
2014,1205734,8906,393,22189,34930,3499,11561,65221,58377,3838,23246,352214,44,187292,38222,33050,18193,49,327,10327,735,9260,29334,33,198,95161,19,70898,10790,469,20476,27422,46983,34897,19673,13,2808,102,31736,64734,18842,1180,9143,160570,16356,48992,35,18955,280,30315,9266,27881,3863,16414,11799,762,75106,16781,460,37336,346,165943,110205,516,82,1471,42,929,56670,236,52766,29870,131243,750,2572,5472,6780,11366,6734,39,376,74,148,1313,25461,36004,26795,174133,1676,81,71495,4937,23592,16292,5153,51,5630,31223,23263,4680,149,1038,1643,892,168414,29857,971,201,829,4090,4614,1391,20626,12482,6076,43,533,844,221123,15206,26659,1745,1142,2803,15822,7570,984,409,22290,29812,49366,42699,13741,2744,36329,40520,1821,4696,1889,15265,142018,9622,15226,2960,7959,1155,864,20232,30,34559,20726,81049,507,1003,23160,175,729,35390,67237,1037,35710,372,512,168,1626,2777,290,27604,191963,10781,10429,32585,360,6203,16081,138934,670,12,30,13979,230881,2071,1969,12974,32,24023,58038,26903,72832,69979,30723,51695,63408,6653,201,20215,275,190,153,71131,17700,6832,3246,58109,508,87,121,1303,10904,12787,3560,1196,91490,150137,15,44966,30522,12530,86651,19053
2013,1150094,8340,271,19482,31903,3116,10422,59776,50854,3573,22393,336257,32,175381,34469,32170,18058,37,284,9224,727,8733,27475,27,191,90042,15,67845,9733,395,18314,25748,43840,31862,18017,9,2476,80,30050,60987,18085,1090,8820,152307,15005,45442,33,17617,250,27841,8539,26147,3563,15690,11003,708,70650,16475,454,35206,210,154244,106116,431,78,1328,33,890,51979,206,46987,27819,123672,761,2391,4949,6621,10433,6190,30,337,63,116,1097,23914,31937,26705,161371,1597,75,66985,4622,20845,15170,4685,42,5083,28397,21347,4181,141,894,1449,809,158004,28412,830,175,612,3624,4327,1124,18814,11715,5543,34,512,722,213596,14338,23788,1464,1092,2644,15122,6727,980,314,20921,27636,46475,39535,13735,2265,33671,37561,1414,4365,1845,14902,130035,9360,14407,2626,6837,1075,778,18751,34,32508,19339,75926,470,826,22617,145,720,34171,60630,902,33318,350,416,138,1407,2484,217,26583,181251,9914,9664,30869,318,5574,14762,135485,575,13,35,13046,213074,1937,1845,12696,21,22758,53638,25034,69250,64385,28905,46976,58710,6132,205,19271,208,160,138,67866,16439,6482,3085,52905,470,75,95,1138,9620,11691,3042,984,87841,140072,18,41636,27930,11608,80182,17535
2012,1090294,7801,155,17108,29303,2776,9230,54785,43096,3207,20736,315559,33,161104,30322,30688,17673,29,241,8518,730,8495,24724,23,161,83970,13,64743,8901,396,16379,23529,41220,28384,16372,8,2222,76,27943,57056,18025,1041,7576,143213,13776,42019,26,16315,252,25187,8183,24380,3457,14972,10149,705,65285,15237,456,33387,193,142695,100923,444,63,1217,33,772,46927,199,42062,25362,116656,739,2097,4409,6281,9691,5478,26,301,78,116,979,21917,28158,26008,147201,1415,71,63060,4359,18353,13688,4048,43,4379,25708,19535,3865,113,913,1493,787,145817,26461,803,183,466,2998,4084,919,16551,10598,5044,29,521,579,204645,12987,21524,1360,943,2402,14071,6012,901,234,19553,25804,43549,36005,12888,1927,31140,34523,1162,4185,1741,14300,118870,8935,13554,2354,5723,1031,727,17077,37,30869,17936,69130,474,655,20654,151,665,32894,53888,828,30218,255,428,112,1234,2274,165,25352,168576,9077,8519,27974,313,5148,13777,129404,549,12,25,12340,194742,1646,1678,12299,26,20966,49007,23026,65489,59271,26980,42433,53495,5927,148,17663,201,154,136,64415,15041,5930,2781,48307,486,60,83,951,8756,10793,2755,818,84166,130909,12,37456,25314,10409,73533,16323
2011,1020635,6838,97,14982,26583,2463,8126,49085,36533,2995,19380,290815,28,145752,26317,28649,16511,18,215,7500,696,8264,22039,21,132,76569,13,60036,8036,353,14033,21007,37642,24927,14854,8,1992,69,25456,52015,17071,989,6537,132332,12215,38632,25,14838,212,22225,7544,22048,3183,13909,9200,635,59329,13516,421,30511,206,129373,94726,336,78,1133,35,742,42832,203,36953,22879,106068,676,1862,3928,6628,8712,4879,21,246,84,100,793,19804,24067,24609,133281,1309,62,58106,3919,15956,12355,3601,43,3758,22713,17336,3226,125,807,1295,727,133536,23808,685,166,391,2316,3632,715,14399,9711,4467,35,461,566,187740,11852,18948,1236,808,2311,12733,5343,801,179,17753,23686,39824,32464,11993,1659,28347,31270,938,3848,1606,13797,106769,8273,12860,2011,4467,1001,709,15830,27,28743,16253,61572,395,526,18812,127,602,30947,48617,760,26964,230,380,92,1043,1999,145,22981,153076,8367,7656,25269,253,4610,12700,122163,494,11,33,11364,175002,1521,1537,11713,29,20061,43949,20958,60397,53210,24871,38165,48003,5464,154,16524,146,132,114,60290,13330,5237,2480,43339,458,56,66,821,7829,9794,2556,699,78672,118126,15,34000,22403,9073,67330,15085
2010,942186,6324,61,12840,23633,2088,7196,43248,30633,2657,17818,264797,22,130091,22688,26936,15802,23,210,6469,650,7560,18790,15,123,69261,8,55200,6989,330,12094,18721,34014,21421,13188,7,1700,52,23481,47014,15985,876,6291,121626,10993,34595,23,13395,192,19821,6675,19704,2822,12774,8069,519,53858,13030,374,28288,180,115171,86577,287,50,1038,39,702,38724,151,31633,20546,95048,609,1689,3558,6417,7891,4302,12,212,69,89,660,17549,20511,23411,118882,1213,57,52670,3465,13897,11085,2949,43,3120,19876,15279,2892,104,691,1207,615,120163,21373,611,158,246,2058,3308,479,12278,8684,3875,30,438,496,171636,10554,16793,1019,671,2010,11596,4576,750,156,15844,21365,36328,28684,11105,1327,25726,28087,754,3531,1524,13066,94705,7814,11810,1598,3611,940,629,14219,23,26106,14696,55342,388,503,16880,105,556,28580,41808,672,24242,204,315,85,863,1648,115,21352,138339,7641,6730,22291,211,4105,11482,113222,426,11,34,10182,154713,1326,1315,10943,24,18259,38396,18407,55198,46914,22258,33449,43042,5040,136,15177,115,111,121,55523,11931,4838,2274,38337,433,44,60,674,7218,8472,2130,640,72349,107186,18,29766,19382,7580,60372,13733
2009,877683,5547,54,11072,21090,1795,6285,38195,25417,2287,16519,243679,28,117554,19786,24753,14586,16,192,5705,576,6745,17764,19,107,63673,8,50791,6251,293,10391,16953,30170,18784,11588,6,1477,36,21652,42861,14623,771,5782,112765,9995,31270,20,12060,178,17094,6220,17917,2502,11770,7074,441,48035,12576,293,25516,163,102718,79985,254,53,915,26,579,34521,161,27399,18308,85147,577,1518,3242,6081,7034,3619,2,175,63,80,573,15843,17417,21671,106291,1083,61,47834,3078,12066,9680,2557,35,2680,17028,13546,2410,94,590,997,571,109340,19133,487,147,212,1727,2914,404,10754,7804,3309,25,387,409,158118,9473,14636,858,555,1919,10740,3917,620,118,14169,19002,32836,25555,10165,1112,23210,25398,654,3045,1382,11859,82667,7230,10709,1198,2962,881,590,12779,24,23520,13649,49783,321,426,15201,97,538,26574,37036,574,21631,145,275,83,756,1437,104,18787,125177,7431,6214,20192,195,3539,10543,106280,377,17,32,9064,135293,1179,1146,10032,12,16539,34369,16675,51297,42026,20244,29535,38814,4538,115,13948,93,100,80,51773,10948,4156,2100,32961,399,33,56,554,6470,7419,1871,544,67640,96701,11,26655,17173,6680,54836,12605
2008,837238,5183,50,10045,19662,1602,5570,34662,22212,2053,15756,228234,17,108947,17444,24222,14092,24,156,5201,511,6518,16665,11,90,59783,11,48108,5743,276,9245,16149,28368,16881,10442,5,1404,42,20281,40706,14734,797,5922,108483,9176,28910,18,11468,170,15008,5874,16611,2336,11990,6348,389,44932,12183,326,23855,153,95383,77250,250,59,878,32,552,32230,156,24638,16804,79340,573,1346,2907,5643,6335,3297,1,146,58,66,508,15148,14945,20976,98072,996,37,45106,2912,11238,8910,2293,47,2539,15340,12069,2235,83,556,1019,535,102178,17786,441,145,156,1531,2693,336,9519,7600,2998,27,363,384,150238,8783,13436,769,507,1701,10161,3479,634,74,13134,17432,31336,23565,9806,929,21638,23895,511,2780,1358,11404,76463,7078,10409,1021,2458,846,571,12093,21,22744,12801,45850,290,360,13692,92,506,25487,34736,485,20037,153,264,64,663,1311,85,16917,118382,7348,5407,19044,184,3307,10041,102952,363,15,20,8495,124226,1054,1080,9857,11,15855,31773,15300,48514,38960,19312,27092,36207,4286,122,13655,75,78,75,49323,10325,3857,1908,29896,380,27,46,467,6116,6991,1608,468,65469,91220,7,24788,15976,5883,51633,11589
2007,786752,4777,28,8980,17510,1446,5023,31762,19741,1824,14709,215711,16,99960,15733,23505,13607,17,140,4698,444,6221,13396,9,62,56223,7,45496,5054,229,8310,14947,25961,14369,9547,3,1176,38,18959,37745,14381,697,5428,102372,8406,27014,16,10510,156,13170,5445,15183,2240,11396,5796,356,41572,11011,326,22395,121,87533,73151,222,39,816,26,542,29877,133,21748,15237,72128,561,1289,2592,5221,5823,3090,0,117,42,55,441,14138,12877,20183,90274,909,31,42524,2685,10180,8180,1920,33,2181,13720,10970,1955,71,474,875,467,94664,16416,411,145,145,1305,2435,254,8212,7146,2703,15,328,347,138617,8080,12139,706,472,1562,9607,3122,607,53,11872,16232,29073,21593,8712,823,20410,22545,397,2576,1371,11121,69179,6668,9768,844,2065,803,516,11300,30,21280,11711,41757,281,278,12241,79,382,24722,30776,431,18291,120,233,59,535,1025,47,15509,110463,6927,4830,17859,163,3001,9331,98628,336,8,23,7872,113760,965,916,9431,17,15080,29402,14293,46019,35610,17890,24567,33121,4022,108,13116,49,54,65,47141,9734,3465,1639,26768,335,16,43,418,5779,6379,1415,408,63381,84994,7,22455,14503,5382,47622,10955
2006,750246,4405,27,8020,15882,1231,4397,28398,17154,1717,14121,203870,17,91063,13814,22490,13189,14,149,4191,361,5668,10924,12,54,52540,6,42721,4664,234,7489,14148,23987,12574,8709,3,1152,40,17707,35214,14339,674,4493,96990,7687,25004,15,9444,158,11680,4932,14298,2025,10689,5244,337,38663,10680,282,21168,126,79881,68861,200,44,734,11,508,27947,127,19513,13865,65960,451,1132,2450,4829,5373,2536,0,116,49,50,385,13199,11014,19079,82549,846,43,40182,2519,9261,7402,1607,31,1920,12143,9991,1675,57,410,771,471,87492,15350,349,132,89,1073,2277,220,7290,6404,2444,22,331,338,125790,7410,11119,593,377,1452,9057,2725,557,45,10956,14955,27644,19471,7578,696,18776,20867,362,2406,1282,10801,62565,6501,9321,651,1634,773,489,10746,31,19704,10995,37960,273,198,11145,60,405,23520,28768,381,16795,97,242,36,413,1005,33,14022,103192,6306,4409,16414,159,2746,8692,94329,312,9,25,7282,103441,940,862,9072,11,14381,26851,13078,43528,32572,16513,22225,30519,3833,96,12344,34,38,55,44340,9261,3238,1506,24352,362,34,39,333,5714,5811,1217,323,60337,79209,11,19851,12894,4858,44430,10508
2005,700524,4010,16,6972,14331,1047,3919,25418,14617,1507,13360,189061,7,81840,11893,21249,12375,16,111,3796,349,5453,10372,10,34,49198,9,39228,4066,167,6215,13100,21625,10817,7500,6,1050,23,16618,32606,13646,589,3311,90807,6936,22641,12,8750,116,10301,4505,12941,1853,10329,4620,294,34984,9419,288,18923,118,72058,63552,171,40,721,20,413,25408,118,16783,12644,59615,386,986,2136,4476,4821,2184,0,87,44,27,351,12178,9165,17759,74767,720,36,36799,2320,8072,6789,1361,31,1636,10576,8610,1356,61,341,727,342,80006,13900,313,126,64,805,1982,183,6350,6113,2194,18,303,270,114133,6571,9867,501,307,1343,8510,2476,462,35,9341,13702,25726,17186,7058,494,17015,20101,263,2164,1252,10305,56225,6182,8734,512,1375,669,453,9695,26,17833,9950,34564,230,185,10304,51,334,22160,25887,335,15151,109,207,54,339,800,37,13042,94625,5630,3876,14568,126,2512,7940,88525,267,8,20,6701,92488,897,792,8366,17,13332,24056,12202,40501,29357,15000,20136,27623,3729,84,11389,31,46,71,41818,8675,2889,1375,21464,288,28,35,280,4932,5292,1097,299,56414,72292,6,17841,11504,4172,41182,9612
